"Header Size"           ,15              
"Model Name"            ,"DL850E        "
"Comment"               ,"                         "
"BlockNumber"           ,1               
"TraceName"             ,"CH5           ","CH6           ","CH7           "
"BlockSize"             ,20020000        ,20020000        ,20020000        
"VUnit"                 ,"V             ","V             ","V             "
"SampleRate"            ,1000000.000000  ,1000000.000000  ,1000000.000000  
"HResolution"           ,1.000000e-06    ,1.000000e-06    ,1.000000e-06    
"HOffset"               ,-2.002000e+01   ,-2.002000e+01   ,-2.002000e+01   
"HUnit"                 ,"s             ","s             ","s             "
"DisplayPointNo."       ,1               ,1               ,1               
"PhaseShift"            ,1               ,1               ,1               
"Date"                  ,"2026/09/15    ","2026/09/15    ","2026/09/15    "
"Time"                  ,"12:33:00.26567844","12:33:00.26567844","12:33:00.26567844"

,-3.3333E-03, 1.0000E-02, 5.3333E-03,
,-4.6667E-03, 1.0000E-02, 5.3333E-03,
,-3.3333E-03, 1.0000E-02, 5.3333E-03,
,-3.3333E-03, 1.0000E-02, 4.6667E-03,
,-3.3333E-03, 1.0000E-02, 5.3333E-03,
,-3.3333E-03, 1.0000E-02, 5.3333E-03,
,-3.3333E-03, 1.0000E-02, 5.3333E-03,
,-4.6667E-03, 9.3333E-03, 5.3333E-03,
,-3.3333E-03, 1.0000E-02, 5.3333E-03,
,-4.6667E-03, 1.1333E-02, 5.3333E-03,
,-4.6667E-03, 1.0000E-02, 5.3333E-03,
,-3.3333E-03, 1.1333E-02, 4.6667E-03,
,-4.6667E-03, 1.0000E-02, 6.6667E-03,
,-3.3333E-03, 1.0000E-02, 5.3333E-03,
,-4.6667E-03, 1.0000E-02, 5.3333E-03,
,-3.3333E-03, 1.0000E-02, 6.6667E-03,
,-4.6667E-03, 1.0000E-02, 5.3333E-03,
,-4.6667E-03, 1.0000E-02, 4.6667E-03,
,-4.6667E-03, 1.0000E-02, 5.3333E-03,
,-3.3333E-03, 1.0000E-02, 5.3333E-03,
,-3.3333E-03, 1.0000E-02, 5.3333E-03,
,-4.6667E-03, 1.1333E-02, 6.6667E-03,
,-4.6667E-03, 1.0000E-02, 6.6667E-03,
,-3.3333E-03, 1.0000E-02, 4.6667E-03,
,-4.6667E-03, 1.1333E-02, 5.3333E-03,
,-4.6667E-03, 1.0000E-02, 5.3333E-03,
,-3.3333E-03, 1.1333E-02, 5.3333E-03,
,-4.6667E-03, 1.0000E-02, 5.3333E-03,
,-3.3333E-03, 1.0000E-02, 5.3333E-03,
,-4.6667E-03, 1.0000E-02, 5.3333E-03,
,-3.3333E-03, 1.0000E-02, 5.3333E-03,
,-4.6667E-03, 1.0000E-02, 6.6667E-03,
